"";"COMPAÑIA";"FECHA";"MES";"AÑO";"PRECIO_CIERRE";"DESEMPLEO";"INFLACION";"CONFIANZA_USA";"CONFIANZA_OCDE";"TIEMPO_ELECCIONES_1";"TIEMPO_ELECCIONES_2"
"1";"AMAZON";"2018-11-12";"Noviembre";2018;1636,8;3,7;2,2;101,2;100,6;"SI";1
"2";"AMAZON";"2018-11-13";"Noviembre";2018;1631,2;3,7;2,2;101,2;100,6;"SI";1
"3";"AMAZON";"2018-11-14";"Noviembre";2018;1599;3,7;2,2;101,2;100,6;"SI";1
"4";"AMAZON";"2018-11-15";"Noviembre";2018;1619,4;3,7;2,2;101,2;100,6;"SI";1
"5";"AMAZON";"2018-11-16";"Noviembre";2018;1593,4;3,7;2,2;101,2;100,6;"SI";1
"6";"AMAZON";"2018-11-19";"Noviembre";2018;1512,3;3,7;2,2;101,2;100,6;"SI";1
"7";"AMAZON";"2018-11-20";"Noviembre";2018;1495,5;3,7;2,2;101,2;100,6;"SI";1
"8";"AMAZON";"2018-11-21";"Noviembre";2018;1516,7;3,7;2,2;101,2;100,6;"SI";1
"9";"AMAZON";"2018-11-23";"Noviembre";2018;1502,1;3,7;2,2;101,2;100,6;"SI";1
"10";"AMAZON";"2018-11-26";"Noviembre";2018;1581,3;3,7;2,2;101,2;100,6;"SI";1
"11";"AMAZON";"2018-11-27";"Noviembre";2018;1581,4;3,7;2,2;101,2;100,6;"SI";1
"12";"AMAZON";"2018-11-28";"Noviembre";2018;1677,8;3,7;2,2;101,2;100,6;"SI";1
"13";"AMAZON";"2018-11-29";"Noviembre";2018;1673,6;3,7;2,2;101,2;100,6;"SI";1
"14";"AMAZON";"2018-11-30";"Noviembre";2018;1690,2;3,7;2,2;101,2;100,6;"SI";1
"15";"AMAZON";"2018-12-03";"Diciembre";2018;1772,4;3,9;2,2;101,1;100,5;"NO";0
"16";"AMAZON";"2018-12-04";"Diciembre";2018;1668,4;3,9;2,2;101,1;100,5;"NO";0
"17";"AMAZON";"2018-12-06";"Diciembre";2018;1699,2;3,9;2,2;101,1;100,5;"NO";0
"18";"AMAZON";"2018-12-07";"Diciembre";2018;1629,1;3,9;2,2;101,1;100,5;"NO";0
"19";"AMAZON";"2018-12-10";"Diciembre";2018;1641;3,9;2,2;101,1;100,5;"NO";0
"20";"AMAZON";"2018-12-11";"Diciembre";2018;1643,2;3,9;2,2;101,1;100,5;"NO";0
"21";"AMAZON";"2018-12-12";"Diciembre";2018;1663,5;3,9;2,2;101,1;100,5;"NO";0
"22";"AMAZON";"2018-12-13";"Diciembre";2018;1658,4;3,9;2,2;101,1;100,5;"NO";0
"23";"AMAZON";"2018-12-14";"Diciembre";2018;1591,9;3,9;2,2;101,1;100,5;"NO";0
"24";"AMAZON";"2018-12-17";"Diciembre";2018;1520,9;3,9;2,2;101,1;100,5;"NO";0
"25";"AMAZON";"2018-12-18";"Diciembre";2018;1551,5;3,9;2,2;101,1;100,5;"NO";0
"26";"AMAZON";"2018-12-19";"Diciembre";2018;1495,1;3,9;2,2;101,1;100,5;"NO";0
"27";"AMAZON";"2018-12-20";"Diciembre";2018;1460,8;3,9;2,2;101,1;100,5;"NO";0
"28";"AMAZON";"2018-12-21";"Diciembre";2018;1377,4;3,9;2,2;101,1;100,5;"NO";0
"29";"AMAZON";"2018-12-24";"Diciembre";2018;1344;3,9;2,2;101,1;100,5;"NO";0
"30";"AMAZON";"2018-12-26";"Diciembre";2018;1470,9;3,9;2,2;101,1;100,5;"NO";0
"31";"AMAZON";"2018-12-27";"Diciembre";2018;1461,6;3,9;2,2;101,1;100,5;"NO";0
"32";"AMAZON";"2018-12-28";"Diciembre";2018;1478;3,9;2,2;101,1;100,5;"NO";0
"33";"AMAZON";"2018-12-31";"Diciembre";2018;1502;3,9;2,2;101,1;100,5;"NO";0
"34";"AMAZON";"2019-01-02";"Enero";2019;1539,1;4;2,2;100,9;100,4;"NO";0
"35";"AMAZON";"2019-01-03";"Enero";2019;1500,3;4;2,2;100,9;100,4;"NO";0
"36";"AMAZON";"2019-01-04";"Enero";2019;1575,4;4;2,2;100,9;100,4;"NO";0
"37";"AMAZON";"2019-01-07";"Enero";2019;1629,5;4;2,2;100,9;100,4;"NO";0
"38";"AMAZON";"2019-01-08";"Enero";2019;1656,6;4;2,2;100,9;100,4;"NO";0
"39";"AMAZON";"2019-01-09";"Enero";2019;1659,4;4;2,2;100,9;100,4;"NO";0
"40";"AMAZON";"2019-01-10";"Enero";2019;1656,2;4;2,2;100,9;100,4;"NO";0
"41";"AMAZON";"2019-01-11";"Enero";2019;1640,6;4;2,2;100,9;100,4;"NO";0
"42";"AMAZON";"2019-01-14";"Enero";2019;1617,2;4;2,2;100,9;100,4;"NO";0
"43";"AMAZON";"2019-01-15";"Enero";2019;1674,6;4;2,2;100,9;100,4;"NO";0
"44";"AMAZON";"2019-01-16";"Enero";2019;1683,8;4;2,2;100,9;100,4;"NO";0
"45";"AMAZON";"2019-01-17";"Enero";2019;1693,2;4;2,2;100,9;100,4;"NO";0
"46";"AMAZON";"2019-01-18";"Enero";2019;1696,2;4;2,2;100,9;100,4;"NO";0
