area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150001707;2;2;1;2;2;2;2;2;1;2;3;2;3;2;3;3;2;2;2;3;2;3;2;2713;176,007978589395;202102
1;010150001707;2;2;2;2;2;2;2;2;1;2;3;2;3;2;3;3;2;2;2;2;2;2;2;2713;154,767413730549;202102
1;010150001707;3;2;3;2;3;2;2;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;121,653663862518;202102
1;010150001707;3;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;2;2;2;3;2;2;2;2713;158,694394328197;202102
1;010150001707;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;2;3;2;3;2;2713;104,876578371956;202102
1;010150001707;2;2;2;2;2;2;2;1;1;1;3;3;3;3;3;3;2;2;2;3;2;3;2;2713;151,858968285101;202102
1;010150002201;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;153,517586578949;202102
1;010150002201;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;2;2;2711;255,318064025834;202102
1;010150002201;2;3;2;2;2;2;2;2;1;2;3;2;3;2;2;2;2;2;2;3;3;3;3;2711;211,111878177856;202102
1;010150002201;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;275,663023086046;202102
1;010150002201;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;165,341348725994;202102
1;010150002201;2;2;2;2;2;2;3;2;1;2;3;3;3;3;3;3;2;2;2;2;2;3;3;2711;198,945443213569;202102
1;010150002201;3;2;2;2;2;2;2;2;1;2;3;3;2;3;3;3;2;2;2;3;3;3;3;2711;236,474638811285;202102
1;010150003403;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2712;151,549743146749;202102
