Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",9522980,65610,47880,28390,84220
1,36,New York State,11-0000,Management Occupations,502060,160290,140740,77700,201580
1,36,New York State,11-1011,Chief Executives,8990,219390,,111990,273090
1,36,New York State,11-1021,General and Operations Managers,168730,158460,134350,68180,203600
1,36,New York State,11-1031,Legislators,6310,91870,94030,82690,96460
1,36,New York State,11-2011,Advertising and Promotions Managers,7840,188270,170360,105550,229640
1,36,New York State,11-2021,Marketing Managers,21550,189730,175100,118180,225510
1,36,New York State,11-2022,Sales Managers,24730,197610,183330,110860,240990
1,36,New York State,11-2030,Public Relations and Fundraising Managers,6550,177400,159420,100430,215890
1,36,New York State,11-3010,Administrative Services Managers,19460,140700,128670,85820,168140
1,36,New York State,11-3021,Computer and Information Systems Managers,28960,193840,176930,119000,231260
1,36,New York State,11-3031,Financial Managers,46100,214050,200650,119650,261250
1,36,New York State,11-3051,Industrial Production Managers,5530,133390,125500,85060,157550
1,36,New York State,11-3061,Purchasing Managers,4310,161430,145900,93710,195290
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",4510,122880,115170,77730,145460
1,36,New York State,11-3111,Compensation and Benefits Managers,1550,179260,161250,112110,212830
1,36,New York State,11-3121,Human Resources Managers,10980,161710,145510,92550,196280
1,36,New York State,11-3131,Training and Development Managers,3050,159750,151990,98180,190540
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,102580,97810,66760,120490
1,36,New York State,11-9021,Construction Managers,11380,137780,122170,77300,168010
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3070,77160,67410,45390,93050
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",20670,132970,131110,89150,154880
1,36,New York State,11-9033,"Education Administrators, Postsecondary",8470,143430,128930,77230,176520
1,36,New York State,11-9039,"Education Administrators, All Other",2120,113940,106140,62010,139910
1,36,New York State,11-9041,Architectural and Engineering Managers,7060,167320,157890,113600,194180
1,36,New York State,11-9051,Food Service Managers,10460,77140,73100,51370,90020
1,36,New York State,11-9071,Gaming Managers,,83150,75300,58180,95640
1,36,New York State,11-9081,Lodging Managers,1070,84200,74570,52150,100220
1,36,New York State,11-9111,Medical and Health Services Managers,25740,149670,129080,86190,181400
1,36,New York State,11-9121,Natural Sciences Managers,1450,162490,138880,93590,196950
1,36,New York State,11-9131,Postmasters and Mail Superintendents,830,80780,79230,69120,86610
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",8620,111590,95490,65900,134430
1,36,New York State,11-9151,Social and Community Service Managers,13820,87900,81790,57090,103300
